id,accident,author,date,description,lat,link,lon,title,source,location,road1,road2,resolution,tweet_id,district_hebrew,non_urban_intersection_hebrew,region_hebrew,road_segment_name,street1_hebrew,street2_hebrew,yishuv_name
18585,false,רויטרס,2020-02-17 19:34,"שר החוץ של רוסיה סרגיי לברוב התייחס לפגישתו עם מזכיר המדינה האמריקני מייק פומפאו בסוף השבוע ואמר כי הוא ""הרגיש גישה בונה יותר מצד וושינגטון שנוגעת לדיאלוג האסטרטגי בין המדינות"". הוא הוסיף: ""דיברנו על הבעיות הקשורות למדינות ועל בקרת הנשק של מוסקבה וושינגטון"".",0.0,"http://www.ynet.co.il/articles/0,7340,L-5679594,00.html",0.0,"שר החוץ הרוסי: ""פומפאו ואני דיברנו על הדיאלוג האסטרטגי בין המדינות""",ynet,,,,,,,,,,,,
18584,false,רויטרס,2020-02-17 19:03," כמעט 875 אלף אזרחי סוריה, לרוב נשים וילדים, ברחו מהמדינה בשל מתקפות הצבא, המגובה בצבא הרוסי, נגד המרודים בצפון מערב המדינה מאז תחילת חודש דצמבר האחרון. עוד נמסר כי למעלה מ-40 אלף ברחו רק בארבעת הימים האחרונים. ",0.0,https://news.walla.co.il/item/3341440,0.0,"האו""ם: כמעט 875,000 בני אדם ברחו מסוריה בשל התקיפות",walla,,,,,,,,,,,,
18583,false,מאיה הורודניצ'אנו,2020-02-17 18:22," בית החולים שערי צדק מסר הערב (שני) כי ישנו שיפור נוסף במצבו של חייל גולני שנפצי בפיגוע הדריסה בירושלים, בו נפגעו 12 חיילים. על פי הודעת בית החולים, הלוחם שוחרר מטיפול נמרץ והועבר להמשך טיפול במחלקה הנוירוכירורגית. ",0.0,https://news.walla.co.il/item/3341435,0.0,פיגוע הדריסה בי-ם: שיפור נוסף במצבו של חייל גולני שנפצע,walla,,,,,,,,,,,,
18582,false,אמיר אלון,2020-02-17 18:18,"ועדת הבחירות המרכזית הודיעה כי תבחן אפשרות להצבת קלפיות ייעודיות לטובת אזרחים ששוהים בבידוד, עקב הנחיות משרד הבריאות לשבים מיעדים במזרח. היום נפגשה מנכ""לית הוועדה, עו""ד אורלי עדס, עם מנכ""ל משרד הבריאות משה בר סימן טוב ובפגישה דנו בסוגיה. הקלפיות יומוקמו באתרים שבהם אין קלפיות נוספות.",0.0,"http://www.ynet.co.il/articles/0,7340,L-5679547,00.html",0.0,בשל ההנחיות לשבים מהמזרח: תיבחן הצבת קלפיות ייעודיות לאזרחים בבידוד,ynet,,,,,,,,,,,,
18580,false,טל שלו,2020-02-17 18:14," נשיא המדינה ראובן ריבלין יצא מחר (שלישי) לפנות בוקר לביקור ממלכתי באוסטרליה בהזמנת המושל הכללי של המדינה, לפניו ישתתף הנשיא במפגש פסגה ראשון מסוגו לש מדינות הפאסיפיק בפיג'י. במהלך הביקור, ריבלין צפוי להיפגש עם המושל הכללי של אוסטרליה, דיויד הארלי, ראש הממשלה סקוט מוריסון, נציגי הקהילה היהודית ואנשי כוחות הביטחון וההצלה האוסטרלימם שלקחו חלק בהתמודדות עם השריפות במדינה. ",0.0,https://news.walla.co.il/item/3341434,0.0,ריבלין ימריא לאוסטרליה וישתתף בפסגת מדינות הפאסיפיק,walla,,,,,,,,,,,,
18581,false,רויטרס,2020-02-17 18:07," יו""ר ארגון הבריאות העולמי, טדרוס אדהנום גברהיסוס, אמר היום (שני) כי המידע שמגיע נראה כי ישנה ירידה במקרים החדשים של הדבקות בנגיף הקורונה. ""יש לפרש מגמה זו בזהירות רבה"", אמר מנכ""ל הארגון. ""מגמות יכולות להשתנות כשאוכלוסיות חדשות מושפעות. עדיין מוקדם להגיד אם מגמת הירידה תימשך"". ",0.0,https://news.walla.co.il/item/3341433,0.0,ארגון הבריאות העולמי: נראה שיש ירידה בהדבקויות בקורונה,walla,,,,,,,,,,,,
18576,false,רויטרס,2020-02-17 17:54," חמושים במדים ובמסכות צבאיות הרגו 22 בני אדם בכפר אמבזוניה שבמערב קמרון - כך נמסר היום (שני) מהאו""ם. על פי ההודעה, החמושים ירו בנשים ובילדים ושרפו אחרים בבתיהם. ",0.0,https://news.walla.co.il/item/3341430,0.0,קמרון: 22 בני אדם נרצחו על ידי חמושים במערב המדינה,walla,,,,,,,,,,,,
18575,false,איתמר אייכנר,2020-02-17 17:21,"המטוס להשבת הישראלים מספינת הקורונה ייצא מתאילנד ליפן ביום רביעי הקרוב, והוא צפוי להגיע לטוקיו כבר באותו היום יחד עם צוות אוויר זר. ביום חמישי המטוס ימריא לישראל ועליו 12 הישראלים שעדיין שוהים על הספינה, בהתאם לבדיקות רפואיות שייערכו להם. כלל הנוסעים יועברו לבידוד על ידי משרד הבריאות עם שובם לארץ.",0.0,"http://www.ynet.co.il/articles/0,7340,L-5679528,00.html",0.0,"הישראלים שנמצאים ב""ספינת הקורונה"" צפויים לחזור לארץ ביום חמישי",ynet,,,,,,,,,,,,
18574,false,רויטרס,2020-02-17 17:20," התוכניות של ארצות הברית לפרוס אמצעי לחימה בחלל עלולות להביא לפגיעה בלתי הפיכה במאזן הביטחון בחלל - כך צוטט היום (שני) משרד החוץ של רוסיה בסוכנות הידיעות ""ריא"". עוד נמסר כי לרוסיה אין תוכניות לפתור בעיות בחלל בעזרת כלי נשק. ",0.0,https://news.walla.co.il/item/3341427,0.0,"רוסיה: תכנית ארה""ב לפרוס נשק בחלל תפגע במאזן הביטחון",walla,,,,,,,,,,,,
18573,false,יקי אדמקר,2020-02-17 16:33," שר התחבורה בצלאל סמוטריץ' קרא היום (שני) ליו""ר כחול לבן בני גנץ לעלות לדוכן הכנסת ולהתחייב בפני האזרחים לא להקים ממשלה בתימכת הרשימה המשותפת. ""ממשלה במדינה יהודית וציונית לא תתבסס עליהם"", אמר סמוטריץ'. ""בפעם שעברה שזה קרה זה התפוצץ לנו בפנים באלפי הרוגים ופצועים אחרי הסכם אוסלו שעבר כאן באצבעות שלהם"". ",0.0,https://news.walla.co.il/item/3341422,0.0,סמוטריץ' לגנץ: תתחייב לא להקים ממשלה עם המשותפת,walla,,,,,,,,,,,,
